Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Kevin Rooney,CGY,C,17,0,1,1,-2,7,14,0,0,0,0,0,26,10
Dan Renouf,BOS,D,1,0,0,0,-3,0,5,0,0,0,0,0,1,2
Dennis Cholowski,NYI,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,1
Riley Tufte,DAL,LW,3,0,0,0,-1,0,1,0,0,0,0,0,6,0
Lucas Johansen,WAS,D,2,0,0,0,0,0,3,0,0,0,0,0,0,3
Tyler Benson,EDM,LW,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Kale Clague,BUF,D,32,0,3,3,-6,24,24,0,0,0,0,0,24,22
Markus Niemelainen,EDM,D,23,0,0,0,3,4,16,0,0,0,0,0,61,16
William Lockwood,NYR,RW,13,0,1,1,-7,0,12,0,0,0,0,0,37,13
Casey Fitzgerald,FLA,D,27,0,3,3,-2,4,13,0,0,0,0,0,35,12
Fredrik Karlstrom,DAL,C,5,0,0,0,1,0,6,0,0,0,0,0,1,1
Victor Mete,TOR,D,11,0,2,2,3,4,7,0,0,0,0,0,3,9
Mikhail Maltsev,COL,C,5,0,0,0,0,0,4,0,0,0,0,0,4,2
Will Bitten,STL,C,4,0,1,1,1,0,0,0,0,0,0,0,10,0
Frederic Allard,MON,D,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Lucas Carlsson,FLA,D,2,0,0,0,-1,2,2,0,0,0,0,0,3,1
Otto Koivula,NYI,C,8,0,2,2,1,4,5,0,0,0,0,0,6,4
Max Lajoie,CAR,D,3,0,0,0,0,0,2,0,0,0,0,0,2,0
Joona Koppanen,BOS,LW,5,0,1,1,0,4,2,0,0,0,0,0,8,2
Gabriel Carlsson,WAS,D,6,0,2,2,-1,0,3,0,0,0,0,0,4,1
Noah Juulsen,VAN,D,12,0,0,0,1,6,5,0,0,0,0,0,43,16
Jacob Larsson,OTT,D,7,0,0,0,0,6,4,0,0,0,0,0,7,6
Bokondji Imama,ARI,LW,5,0,0,0,-2,5,0,0,0,0,0,0,13,2
Dakota Mermis,MIN,D,2,0,0,0,-1,0,1,0,0,0,0,0,2,3
Luke Philp,CHI,C,3,0,1,1,0,2,0,0,0,0,0,0,4,0
Colton White,ANH,D,45,0,6,6,-18,8,30,0,0,0,0,0,33,36
Christian Wolanin,VAN,D,16,0,3,3,5,4,16,0,0,1,0,0,4,11
Parker Wotherspoon,NYI,D,12,0,1,1,5,4,10,0,0,0,0,0,8,7
Glenn Gawdin,ANH,C,3,0,0,0,-1,0,3,0,0,0,0,0,4,3
Marc McLaughlin,BOS,C,2,0,0,0,-1,2,3,0,0,0,0,0,2,0
Vincent Iorio,WAS,D,3,0,1,1,0,0,3,0,0,0,0,0,2,3
Billy Sweezey,CLS,D,7,0,1,1,-1,9,2,0,0,0,0,0,28,16
Bobby McMann,TOR,C,10,0,1,1,-2,2,18,0,0,0,0,0,17,0
Anton Levtchi,FA,LW,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Owen Beck,MON,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Hunter McKown,CLS,C,9,0,1,1,-6,6,10,0,0,0,0,0,8,2
Akito Hirose,VAN,D,5,0,2,2,1,0,2,0,0,1,0,0,4,4
Jake Livingstone,NSH,D,3,0,1,1,-1,0,0,0,0,0,0,0,4,9
Elliot Desnoyers,PHI,C,4,0,0,0,-2,0,3,0,0,0,0,0,9,4
Wyatt Kaiser,CHI,D,7,0,1,1,-5,0,11,0,0,0,0,0,4,6
Tyler Kleven,OTT,D,7,0,2,2,0,0,10,0,0,0,0,0,7,7
Brock Faber,MIN,D,1,0,0,0,1,0,1,0,0,0,0,0,0,6
Tristen Robins,SJ,C,1,0,0,0,-1,0,2,0,0,0,0,0,1,0
Will Cuylle,NYR,LW,4,0,0,0,-2,10,1,0,0,0,0,0,8,0
Jean-Luc Foudy,COL,C,9,0,0,0,-3,6,12,0,0,0,0,0,2,2
Matt Kessel,STL,D,2,0,0,0,-1,0,3,0,0,0,0,0,0,1
William Dufour,NYI,RW,1,0,0,0,-2,0,0,0,0,0,0,0,1,0
Oskar Olausson,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
David Jiricek,CLS,D,3,0,0,0,-5,2,4,0,0,0,0,0,8,5
Marco Kasper,DET,C,1,0,0,0,0,0,1,0,0,0,0,0,3,0
Josh Dunne,CLS,C,7,0,0,0,-6,4,3,0,0,0,0,0,17,4
Mike Hardman,CHI,RW,8,0,0,0,-2,0,7,0,0,0,0,0,25,6
Alex Steeves,TOR,LW,3,0,0,0,-2,0,3,0,0,0,0,0,3,0
Jackson Cates,PHI,C,5,0,0,0,0,0,4,0,0,0,0,0,3,1
Brandt Clarke,LA,D,9,0,2,2,-1,6,11,0,0,1,0,0,3,14
Jesper Froden,SEA,RW,13,0,4,4,4,4,10,0,0,0,0,0,9,5
James Hamblin,EDM,C,10,0,0,0,-3,2,12,0,0,0,0,0,2,1
Callahan Burke,COL,C,2,0,0,0,-1,0,2,0,0,0,0,0,1,2
Nick Cicek,SJ,D,16,0,4,4,-7,15,3,0,0,0,0,0,28,21
Alex Turcotte,LA,C,4,0,0,0,-2,5,2,0,0,0,0,0,1,0
Thomas Harley,DAL,D,4,0,2,2,5,2,5,0,0,0,0,0,0,6
Lassi Thomson,OTT,D,2,0,0,0,-2,4,1,0,0,0,0,0,2,0
Ville Heinola,WPG,D,10,0,1,1,-5,2,5,0,0,0,0,0,7,7
Samuel Poulin,PIT,RW,3,0,1,1,-3,2,2,0,0,1,0,0,3,1
Tobias Bjornfot,LA,D,10,0,1,1,1,6,10,0,0,0,0,0,12,11
Taro Hirose,DET,LW,2,0,0,0,-2,2,1,0,0,0,0,0,1,2
Egor Zamula,PHI,D,14,0,4,4,0,2,8,0,0,0,0,0,9,13
Jake Christiansen,CLS,D,23,0,3,3,-7,4,25,0,0,0,0,0,20,22
Brayden Pachal,VGK,D,9,0,2,2,1,6,16,0,0,0,0,0,24,9
Kristian Reichel,WPG,C,2,0,1,1,0,0,1,0,0,0,0,0,2,0
Trey Fix-Wolansky,CLS,RW,8,0,0,0,-6,0,15,0,0,0,0,0,10,7
Michael Kesselring,ARI,D,8,0,1,1,-3,6,8,0,0,0,0,0,11,5
Spencer Stastney,NSH,D,6,0,2,2,3,0,7,0,0,0,0,1,1,6
Filip Kral,TOR,D,2,0,0,0,0,2,1,0,0,0,0,0,2,1
Sampo Ranta,COL,LW,6,0,0,0,0,4,5,0,0,0,0,0,10,3
Nathan Smith,ARI,C,4,0,0,0,-1,4,2,0,0,0,0,0,6,3
Semyon Der-Arguchintsev,TOR,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Johnny Gruden,PIT,LW,3,0,0,0,0,0,0,0,0,0,0,0,4,1
Mac Hollowell,TOR,D,6,0,2,2,3,2,4,0,0,0,0,0,3,6
Jan Jenik,ARI,C,1,0,0,0,0,4,0,0,0,0,0,0,2,1
Alec Regula,CHI,D,4,0,0,0,-3,4,2,0,0,0,0,0,4,8
Filip Hallander,PIT,C,2,0,0,0,0,0,0,0,0,0,0,0,1,3
Gabriel Fortier,TB,LW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
David Gustafsson,WPG,C,45,0,6,6,1,6,45,0,0,0,0,1,25,18
Alexander Alexeyev,WAS,D,30,0,5,5,-4,4,26,0,0,0,0,0,31,47
Drew Helleson,ANH,D,1,0,0,0,-1,0,2,0,0,0,0,0,1,0
Kaedan Korczak,VGK,D,10,0,2,2,-3,0,16,0,0,0,0,0,25,8
Alex Vlasic,CHI,D,6,0,1,1,-1,0,4,0,0,0,0,0,5,9
Victor Soderstrom,ARI,D,29,0,8,8,-2,24,31,0,0,3,0,0,17,39
Connor McMichael,WAS,C,6,0,0,0,0,5,2,0,0,0,0,0,2,3
Henry Thrun,SJ,D,6,0,2,2,1,0,5,0,0,0,0,0,3,5
Nick Abruzzese,TOR,C,2,0,2,2,1,0,2,0,0,1,0,0,1,0
Ronnie Attard,PHI,D,2,0,0,0,0,0,5,0,0,0,0,0,3,2
Adam Beckman,MIN,LW,9,0,0,0,-2,0,12,0,0,0,0,0,3,2
Vladislav Kolyachonok,ARI,D,2,0,0,0,0,0,2,0,0,0,0,0,2,2
Marco Rossi,MIN,C,17,0,1,1,-5,6,12,0,0,0,0,0,5,8
Thomas Bordeleau,SJ,LW,6,0,1,1,-4,0,6,0,0,0,0,0,4,2
Adam Raska,SJ,LW,3,0,0,0,0,0,1,0,0,0,0,0,13,2
Justin Richards,CLS,C,2,0,1,1,-1,0,0,0,0,0,0,0,4,0
Jamie Drysdale,ANH,D,8,0,0,0,-3,2,8,0,0,0,0,0,7,6
Jordan Spence,LA,D,6,0,1,1,1,0,6,0,0,0,0,0,3,3
Tyce Thompson,NJ,C,2,0,0,0,-1,0,1,0,0,0,0,0,0,2
Corey Schueneman,MON,D,7,0,1,1,1,0,8,0,0,0,0,0,4,12
Shane Bowers,BOS,C,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Urho Vaakanainen,ANH,D,23,0,2,2,-16,0,27,0,0,0,0,0,18,28
Lias Andersson,LA,LW,1,0,0,0,-1,0,1,0,0,0,0,0,2,0
Matthew Highmore,STL,C,2,0,0,0,1,0,2,0,0,0,0,0,4,0
Vinni Lettieri,BOS,C,1,0,0,0,-1,0,1,0,0,0,0,0,3,0
Nick DeSimone,CGY,D,4,0,0,0,-4,2,4,0,0,0,0,0,2,4
Dylan Coghlan,CAR,D,17,0,3,3,-1,2,29,0,0,0,0,0,11,9
Jeffrey Viel,SJ,LW,4,0,0,0,0,2,4,0,0,0,0,0,6,2
Jacob Moverare,LA,D,2,0,0,0,-1,0,6,0,0,0,0,0,3,4
Matthew Phillips,CGY,C,2,0,0,0,0,2,1,0,0,0,0,0,0,0
Vincent Desharnais,EDM,D,34,0,5,5,14,31,14,0,0,0,0,1,43,44
Jeremy Davies,BUF,D,1,0,0,0,0,2,1,0,0,0,0,0,0,1
Jacob Bernard-Docker,OTT,D,19,0,1,1,-2,11,22,0,0,0,0,0,23,27
Sheldon Rempal,VGK,LW,1,0,0,0,-2,0,0,0,0,0,0,0,0,0
Grigori Denisenko,FLA,LW,18,0,3,3,-5,4,16,0,0,0,0,0,20,8
Austin Strand,BUF,D,5,0,0,0,-2,2,5,0,0,0,0,0,5,4
Dmitri Samorukov,STL,D,2,0,0,0,-1,2,1,0,0,0,0,0,0,2
Cale Fleury,SEA,D,11,0,1,1,0,2,10,0,0,0,0,0,26,13
Jake Leschyshyn,NYR,C,35,0,0,0,-10,8,31,0,0,0,0,0,55,11
Jonas Rondbjerg,VGK,RW,13,0,1,1,-5,4,15,0,0,0,0,0,2,7
Alex Barre-Boulet,TB,C,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Carson Meyer,CLS,RW,13,0,0,0,-2,4,16,0,0,0,0,0,22,6
Marian Studenic,DAL,RW,3,0,0,0,-1,0,4,0,0,0,0,0,3,0
Arnaud Durandeau,NYI,LW,4,0,0,0,1,2,9,0,0,0,0,0,3,2
Olle Lycksell,PHI,RW,8,0,1,1,-3,8,5,0,0,0,0,0,1,7
